match_id,season_id,match_date,home_team_id,away_team_id,full_time_home_goals,full_time_away_goals,full_time_result,half_time_home_goals,half_time_away_goals,half_time_result
406,2,2016-08-27,23,25,1,1,D,0,0,D
407,2,2016-08-27,27,16,1,1,D,0,1,A
408,2,2016-08-27,28,1,1,3,A,0,3,A
409,2,2016-08-28,17,30,3,1,H,2,0,H
410,2,2016-08-28,29,19,0,0,D,0,0,D
411,2,2016-09-10,1,23,2,1,H,1,1,D
412,2,2016-09-10,3,29,1,0,H,0,0,D
413,2,2016-09-10,6,13,1,1,D,0,0,D
414,2,2016-09-10,16,15,4,1,H,2,1,H
415,2,2016-09-10,18,17,1,2,A,1,2,A
416,2,2016-09-10,19,9,1,2,A,1,1,D
417,2,2016-09-10,24,27,0,4,A,0,1,A
418,2,2016-09-10,30,28,2,4,A,2,2,D
419,2,2016-09-11,26,8,2,2,D,0,1,A
420,2,2016-09-12,25,10,0,3,A,0,0,D
421,2,2016-09-16,8,16,1,2,A,0,2,A
422,2,2016-09-17,10,19,3,1,H,3,1,H
423,2,2016-09-17,13,1,1,4,A,0,1,A
424,2,2016-09-17,15,6,3,0,H,1,0,H
425,2,2016-09-17,17,3,4,0,H,2,0,H
426,2,2016-09-17,29,30,4,2,H,3,0,H
427,2,2016-09-18,9,24,4,1,H,2,0,H
428,2,2016-09-18,23,26,1,0,H,0,0,D
429,2,2016-09-18,27,25,1,0,H,0,0,D
430,2,2016-09-18,28,18,3,1,H,1,0,H
431,2,2016-09-24,1,8,3,0,H,3,0,H
432,2,2016-09-24,3,10,1,0,H,1,0,H
433,2,2016-09-24,16,13,5,1,H,3,0,H
434,2,2016-09-24,18,15,4,1,H,4,0,H
435,2,2016-09-24,19,27,1,2,A,0,2,A
436,2,2016-09-24,24,29,1,1,D,0,0,D
437,2,2016-09-24,25,9,2,3,A,1,0,H
438,2,2016-09-24,26,17,1,3,A,1,1,D
439,2,2016-09-25,30,23,0,3,A,0,1,A
440,2,2016-09-26,6,28,2,0,H,1,0,H
441,2,2016-09-30,10,9,1,1,D,1,0,H
442,2,2016-10-01,13,8,0,2,A,0,0,D
443,2,2016-10-01,25,29,1,1,D,0,1,A
444,2,2016-10-01,26,16,1,2,A,1,0,H
445,2,2016-10-01,28,3,2,2,D,0,1,A
446,2,2016-10-01,30,19,1,1,D,0,0,D
447,2,2016-10-02,6,1,0,1,A,0,0,D
448,2,2016-10-02,15,23,0,0,D,0,0,D
449,2,2016-10-02,18,24,1,1,D,0,0,D
450,2,2016-10-02,27,17,2,0,H,2,0,H
451,2,2016-10-15,1,26,3,2,H,2,1,H
452,2,2016-10-15,3,13,6,1,H,3,1,H
453,2,2016-10-15,8,15,3,0,H,2,0,H
454,2,2016-10-15,9,30,0,1,A,0,1,A
455,2,2016-10-15,17,10,1,1,D,0,0,D
456,2,2016-10-15,24,25,2,0,H,2,0,H
457,2,2016-10-15,29,27,1,1,D,0,0,D
458,2,2016-10-16,19,28,0,1,A,0,0,D
459,2,2016-10-16,23,6,3,1,H,0,0,D
460,2,2016-10-17,16,18,0,0,D,0,0,D
461,2,2016-10-22,1,19,0,0,D,0,0,D
462,2,2016-10-22,3,27,0,0,D,0,0,D
463,2,2016-10-22,6,10,2,1,H,1,0,H
464,2,2016-10-22,13,24,0,2,A,0,1,A
465,2,2016-10-22,15,9,3,1,H,1,0,H
466,2,2016-10-22,16,29,2,1,H,2,0,H
467,2,2016-10-22,26,28,0,0,D,0,0,D
468,2,2016-10-22,30,25,1,0,H,0,0,D
469,2,2016-10-23,8,18,4,0,H,2,0,H
470,2,2016-10-23,17,23,1,1,D,0,1,A
471,2,2016-10-29,9,16,2,4,A,2,3,A
472,2,2016-10-29,18,6,0,0,D,0,0,D
473,2,2016-10-29,19,3,2,0,H,1,0,H
474,2,2016-10-29,25,1,1,4,A,0,1,A
475,2,2016-10-29,27,15,1,1,D,1,0,H
476,2,2016-10-29,28,13,1,0,H,0,0,D
477,2,2016-10-29,29,17,0,4,A,0,2,A
478,2,2016-10-30,10,30,2,0,H,0,0,D
479,2,2016-10-30,23,8,0,2,A,0,1,A
480,2,2016-10-31,24,26,3,1,H,1,1,D
481,2,2016-11-05,3,25,1,2,A,1,1,D
482,2,2016-11-05,6,9,3,2,H,2,0,H
483,2,2016-11-05,8,10,5,0,H,3,0,H
484,2,2016-11-05,17,19,1,1,D,1,0,H
485,2,2016-11-05,30,24,1,1,D,0,0,D
486,2,2016-11-06,1,27,1,1,D,1,0,H
487,2,2016-11-06,13,23,2,1,H,0,1,A
488,2,2016-11-06,15,29,1,2,A,0,0,D
489,2,2016-11-06,16,28,6,1,H,3,0,H
490,2,2016-11-06,26,18,1,3,A,0,3,A
491,2,2016-11-19,9,17,1,2,A,0,1,A
492,2,2016-11-19,10,26,1,1,D,0,1,A
493,2,2016-11-19,18,1,1,1,D,0,0,D
494,2,2016-11-19,23,16,0,0,D,0,0,D
495,2,2016-11-19,24,3,0,1,A,0,1,A
496,2,2016-11-19,25,13,3,0,H,1,0,H
497,2,2016-11-19,27,30,3,2,H,0,1,A
498,2,2016-11-19,28,15,2,1,H,2,1,H
499,2,2016-11-20,19,8,0,1,A,0,1,A
500,2,2016-11-21,29,6,4,0,H,3,0,H
501,2,2016-11-26,6,17,1,2,A,1,1,D
502,2,2016-11-26,8,27,2,1,H,1,1,D
